Serial_No,Full_Name,Date_of_Birth,Age,Gender,Weight (kg),Height (cm),Contact_No,Date_of_Previous_Blood_Donation,Date_of_Next_Blood_Donation,Availability,Longitude,Latitude,Address,NIC No,Blood Group,Previous Blood Donated Campaign
Y17/D03980,Ma Layous,10/13/1994,25,Male,93.01,154.28,776712741,11/2/2020,2/22/2020,Available,6.804199,79.922739,"Base Hospital, Wewala, Western Province 10300, LK",19942197917V,AB+,CA/00192
Y17/D03981,Detra Coyier,4/3/1983,37,Female,101.75,146.93,710113861,9/6/2020,12/27/2020,Available,6.914322,79.955987,"Batalawatte Road, Halbarawa Gardens, Western Province 10115, LK",19831598514V,B+,CA/00194
Y17/D03983,Salome Lacovara,3/26/1989,31,Female,74.82,169.57,710113861,3/29/2020,7/19/2020,Not Available,6.749919,79.89126,"Moses Lane, Moratuwa, Western Province 10400, LK",19891833163V,A+,CA/00152
Y17/D03984,Garry Keetch,1/13/1980,40,Male,64.76,178.01,715837482,1/17/2020,5/9/2020,Available,6.849869,80.026962,"Godagamawatte Road, Godagama Junction, Western Province 10200, LK",19804730758V,AB+,CA/00153
Y17/D03985,Matthew Neither,1/29/1975,45,Female,84.11,161.76,776372733,1/18/2020,5/10/2020,Available,6.775,80.075217,"Thalgahavila road, Udwua North, Western Province, LK",19758491586V,B+,CA/00125
Y17/D03986,Theodora Restrepo,9/10/1985,34,Male,71.67,172.21,776372733,4/10/2020,7/31/2020,Available,6.922717,79.912724,"Buthgamuwa Road, Sri Jayawardenapura Kotte, Western Province 10100, LK",19857491953V,B+,CA/00130
Y17/D03987,Noah Kalafatis,3/6/1996,24,Female,79.34,165.77,710113861,11/12/2020,3/3/2020,Available,6.801975,80.199407,"Udagama Road, , Sabaragamuwa Province, LK",19969668624V,A+,CA/00179
Y17/D03988,Carmen Sweigard,2/8/1998,22,Male,71.13,172.66,776712741,2/17/2020,6/9/2020,Not Available,6.738797,79.977015,"Kesbewa - Kindelpitiya - Bandaragama Road, , Western Province, LK",19988923307V,A+,CA/00160
Y17/D03989,Lavonda Hengel,12/9/1983,36,Male,54.05,187.01,776712741,5/18/2020,9/7/2020,Available,6.973952,80.025987,"Ulhitiwala Road, Mukalana WP, Western Province 11672, LK",19834217281V,A+,CA/00157
Y17/D03990,Junita Stoltzman,7/5/1993,26,Male,60.97,181.21,715837482,2/9/2020,6/1/2020,Available,6.77514,80.032182,"Gonapola-Homagama Road, Thalagala South, Western Province, LK",19936759633V,O+,CA/00154
Y17/D03991,Herminia Nicolozakes,3/16/2000,20,Male,71.41,172.43,715837482,3/3/2020,6/23/2020,Available,6.79725,80.027424,"Ankuttawala Road, Thalagala, Western Province, LK",20007665789V,O+,CA/00131
Y17/D03992,Casie Good,11/15/1978,41,Male,90.03,156.78,776712741,11/2/2020,2/22/2020,Available,6.910212,80.183033,"Thummodara-Puwakpitiya Road, Egodagama, Western Province, LK",19781591308V,B+,CA/00185
Y17/D03993,Reena Maisto,1/28/1984,36,Male,69.9,173.7,710113861,3/17/2020,7/7/2020,Available,6.755724,79.971515,"Palagama Road, Welmilla, Western Province, LK",19848315861V,B+,CA/00169
Y17/D03995,Cathrine Pontoriero,3/21/1997,23,Male,76.31,168.31,776372733,9/15/2020,1/5/2020,Available,6.924517,79.84439,"Sri Lankan National Flag, Colombo, Western Province 00100, LK",19971992974V,B+,CA/00188
Y17/D03996,Filiberto Tawil,1/5/1997,23,Male,52.77,188.09,715837482,7/18/2020,11/7/2020,Available,6.851417,79.941767,"Kandahenawatta Road, Depanama, Western Province 10230, LK",19975566092V,O+,CA/00175
Y17/D03997,Raul Upthegrove,7/13/1976,43,Male,87.23,159.13,776372733,5/22/2020,9/11/2020,Available,6.794221,80.135169,"Menerigama Road, Malagala WP, Western Province 10500, LK",19763687849V,A+,CA/00168
Y17/D03998,Sarah Candlish,6/26/1990,29,Male,61.88,180.44,776712741,4/17/2020,8/7/2020,Available,6.754089,79.887666,"Galle Road New Deviation, Moratuwa, Western Province 10400, LK",19909709428V,B+,CA/00166
Y17/D03999,Lucy Treston,3/12/1982,38,Female,59.13,182.75,710113861,5/2/2020,8/22/2020,Available,6.893439,79.954233,"Pothuarawa Road, 10th Mile Post Malabe WP, Western Province 10115, LK",19821040215V,A+,CA/00142
Y17/D04000,Judy Aquas,5/11/1980,39,Male,54.26,186.84,776712741,5/4/2020,8/24/2020,Available,6.940985,80.196204,"High Level Road, Kosgama, Western Province 10730, LK",19805882475V,O+,CA/00123
Y17/D04001,Yvonne Tjepkema,3/28/1984,36,Male,82.86,162.81,776712741,9/3/2020,12/24/2020,Available,6.781744,79.917238,"Dampe road, Batakettara, Western Province 10400, LK",19848577822V,AB+,CA/00181
Y17/D04003,Felix Hirpara,4/11/1975,45,Female,105.84,143.5,776712741,1/20/2020,5/12/2020,Available,6.872065,79.907042,"Quarry Road, Sri Jayawardenapura Kotte, Western Province 10250, LK",19757238230V,A+,CA/00151
Y17/D04004,Tresa Sweely,9/1/2002,17,Female,65.85,177.1,715837482,4/7/2020,7/28/2020,Available,6.853162,79.992999,"Pinketha Road, Rukmalgama, Western Province 10118, LK",20021642157V,A+,CA/00167
Y17/D04005,Kristeen Turinetti,3/13/1980,40,Female,97.09,150.85,776372733,8/31/2020,12/21/2020,Available,6.842295,79.900911,"Colombo-Piliyandala-Horana Road, Boralesgamuwa, Western Province 10280, LK",19807864481V,AB+,CA/00182
Y17/D04007,Renea Monterrubio,2/6/1987,33,Male,95.88,151.87,776712741,10/21/2020,2/10/2020,Available,6.873077,79.895185,"Pelawatta Road, Sri Jayawardenapura Kotte, Western Province 10250, LK",19876643566V,O+,CA/00191
Y17/D04009,Ligia Reiber,9/17/2000,19,Male,51.72,188.98,776712741,1/13/2020,5/5/2020,Available,6.854913,79.909188,"Pasal Mawatha, Nawinna, Western Province 10280, LK",20007540592V,O+,CA/00146
Y17/D04010,Christiane Eschberger,6/28/1986,33,Female,80.14,165.09,776712741,5/12/2020,9/1/2020,Available,6.901898,79.933983,"Robert Gunawardane Mawatha, Sri Jayawardenapura Kotte, Western Province 10120, LK",19867706541V,O+,CA/00129
Y17/D04011,Goldie Schirpke,4/28/1990,29,Female,79.96,165.24,710113861,11/28/2020,3/19/2020,Available,6.833875,80.180873,"Labugama Tank, Labugama, Western Province, LK",19905147070V,A+,CA/00173
Y17/D04012,Loreta Timenez,8/22/1977,42,Male,102.97,145.91,776372733,1/27/2020,5/19/2020,Available,6.869587,80.222939,"Iddamalgoda Road, Bandarahena, Sabaragamuwa Province, LK",19772655458V,O+,CA/00159
Y17/D04013,Fabiola Hauenstein,1/15/1983,37,Female,94.99,152.61,776372733,3/13/2020,7/3/2020,Available,6.964928,80.013748,"Somalankaramaya, Biyagama - WP, Western Province 11672, LK",19832639838V,O+,CA/00170
Y17/D04014,Amie Perigo,4/7/1977,43,Female,104.28,144.81,715837482,7/6/2020,10/26/2020,Available,6.990402,80.101812,"Pugoda - Mandawala Road, Pugoda, Western Province, LK",19779496585V,B+,CA/00183
Y17/D04015,Raina Brachle,5/26/1977,42,Male,57.73,183.92,776372733,12/19/2020,4/9/2020,Available,6.824471,80.076641,"Liyanwala - Kurugala - Madulawa Road, Padukka WP, Western Province 10500, LK",19776386216V,A+,CA/00174
Y17/D04016,Erinn Canlas,2/20/1999,21,Male,69.1,174.37,715837482,1/8/2020,4/30/2020,Available,6.785207,79.904671,"Mendis road, Suwarapola, Western Province 10400, LK",19991131424V,AB+,CA/00139
Y17/D04017,Cherry Lietz,6/27/1994,25,Male,65.95,177.02,715837482,6/28/2020,10/18/2020,Available,6.901775,80.086575,"Pahathgama Roman Catholic School, Hanwella, Western Province, LK",19946988539V,O+,CA/00134
Y17/D04018,Kattie Vonasek,4/30/1999,20,Female,86.57,159.69,710113861,1/20/2020,5/12/2020,Available,6.751991,80.012967,"Kubuka - Galanigama road, Raigama, Western Province 12404, LK",19999571192V,A+,CA/00155
Y17/D04019,Lilli Scriven,9/26/1978,41,Male,89.73,157.03,710113861,12/4/2020,3/25/2020,Available,6.817346,80.152779,"Kandanapitiya Road, Wewila, Western Province, LK",19783571083V,A+,CA/00187
Y17/D04020,Whitley Tomasulo,4/18/1994,26,Male,69.5,174.03,776372733,4/15/2020,8/5/2020,Available,6.785255,79.895549,"Sri Premarthna Mawatha, Rawathawatta, Western Province 10400, LK",19944722172V,A+,CA/00147
Y17/D04021,Barbra Adkin,11/3/1995,24,Female,97.04,150.89,776372733,5/2/2020,8/22/2020,Available,6.845303,79.977458,"Sri Sudharshanarama Road, Kottawa Interchange, Western Province 10320, LK",19959847177V,AB+,CA/00135
Y17/D04023,Jesusita Flister,2/2/1991,29,Male,109.03,140.81,776712741,2/28/2020,6/20/2020,Available,6.795851,80.082604,"Galagedara-Horana Road, Kotigamgoda, Western Province, LK",19918829832V,A+,CA/00127
Y17/D04024,Caitlin Julia,12/3/1982,37,Male,56.94,184.59,776712741,8/21/2020,12/11/2020,Available,6.717941,79.927059,"Patalirukkaramaya Road, Panadura, Western Province 12500, LK",19828163038V,O+,CA/00190
Y17/D04025,Roosevelt Hoffis,10/30/1990,29,Male,85.88,160.27,776712741,4/15/2020,8/5/2020,Available,6.881659,80.083642,"Telecom Tower, Meepe, Western Province 10500, LK",19907376242V,O+,CA/00143
Y17/D04026,Helaine Halter,2/11/1993,27,Female,75.34,169.12,715837482,10/21/2020,2/10/2020,Available,6.844931,79.954257,"High Level Road, Pannipitiya, Western Province 10230, LK",19939822806V,A+,CA/00195
Y17/D04027,Lorean Martabano,6/4/1984,35,Female,59.21,182.68,776372733,3/8/2020,6/28/2020,Available,6.806491,80.001097,"Temple Road, Diyagama, Western Province 10320, LK",19847245482V,A+,CA/00149
Y17/D04028,France Buzick,6/13/1976,43,Male,63.12,179.4,776712741,10/25/2020,2/14/2020,Not Available,6.833875,80.180873,"Labugama Tank, Labugama, Western Province, LK",19761064091V,A+,CA/00193
Y17/D04029,Justine Ferrario,5/23/1986,33,Female,86.72,159.56,776712741,4/12/2020,8/2/2020,Available,6.91928,80.221465,"Avissawella - Ratnapura Road, Meennana, Sabaragamuwa Province, LK",19864048586V,A+,CA/00164
Y17/D04030,Adelina Nabours,1/10/1975,45,Male,67.84,175.43,776372733,6/1/2020,9/21/2020,Available,6.933914,79.86349,"Al-Hidaya Vidyalaya, Colombo, Western Province 01200, LK",19751802050V,B+,CA/00171
Y17/D04031,Derick Dhamer,9/2/1978,41,Male,66.88,176.24,715837482,2/20/2020,6/12/2020,Available,6.911311,79.848197,"Kollupitiya, Colombo, Western Province 00300, LK",19789462918V,B+,CA/00132
Y17/D04032,Jerry Dallen,5/9/1992,27,Male,59.58,182.37,776712741,2/22/2020,6/14/2020,Available,6.780809,79.996326,"Colombo - Horana Road, Palannoruwa, Western Province 12404, LK",19922626409V,B+,CA/00161
Y17/D04033,Leota Ragel,5/24/1998,21,Female,53.04,187.87,776372733,1/20/2020,5/12/2020,Available,6.953303,79.912934,"Eksath Mawatha, Kelaniya, Western Province 11300, LK",19984988922V,B+,CA/00151
Y17/D04035,Aja Gehrett,4/18/1976,44,Male,74.93,169.47,710113861,9/8/2020,12/29/2020,Available,6.981081,80.159563,"Ranwala Road, Pepiliyawala, Western Province, LK",19766784918V,B+,CA/00176
Y17/D04036,Kirk Herritt,10/24/1977,42,Female,99.63,148.72,776372733,1/1/2020,4/23/2020,Available,6.935,80.185053,"High Level Road, Kosgama, Western Province 10730, LK",19776369755V,A+,CA/00150
Y17/D04038,Winfred Brucato,4/8/1986,34,Male,60.81,181.34,710113861,11/28/2020,3/19/2020,Available,6.746566,80.040447,"Batuwita-Kulupana Road, Kananwila, Western Province 12404, LK",19863428484V,A+,CA/00173
Y17/D04039,Tarra Nachor,3/13/1996,24,Female,86.58,159.68,776712741,4/3/2020,7/24/2020,Available,6.852293,80.110907,"Meepe-Ingiriya Road, Padukka WP, Western Province 10500, LK",19969318908V,O+,CA/00141
Y17/D04041,Dulce Labreche,7/17/1983,36,Male,90.45,156.43,776372733,10/29/2020,2/18/2020,Available,6.774507,80.092287,"Millawa road, Gorokgoda, Western Province, LK",19834651378V,A+,CA/00197
Y17/D04042,Kate Keneipp,5/4/1998,21,Male,56.54,184.92,776712741,8/21/2020,12/11/2020,Available,6.814656,80.100715,"Mahingala-Udumulla Road, Malagala WP, Western Province 10500, LK",19984465979V,A+,CA/00190
Y17/D04044,Sherita Saras,12/1/1988,31,Male,75.44,169.04,776712741,4/7/2020,7/28/2020,Available,6.889983,79.938766,"Diyawanna Mawatha, Sri Jayawardenapura Kotte, Western Province 10120, LK",19886291216V,B+,CA/00167
Y17/D04045,Lashawnda Stuer,5/5/1985,34,Female,50.82,189.73,776372733,3/2/2020,6/22/2020,Available,6.869879,79.863534,"Pennyquick Road, Colombo, Western Province 00600, LK",19853962564V,A+,CA/00138
Y17/D04046,Ernest Syrop,3/29/1998,22,Male,105.91,143.44,776372733,12/4/2020,3/25/2020,Available,6.926744,79.893108,"Wijaya Road, Sri Jayawardenapura Kotte, Western Province 00800, LK",19984594215V,O+,CA/00187
Y17/D04047,Nobuko Halsey,11/13/1981,38,Male,94.04,153.41,776372733,10/25/2020,2/14/2020,Available,6.800893,79.889351,"Sri Rahula mawatha, Golumadama Junction, Western Province 10400, LK",19819938993V,A+,CA/00193
Y17/D04048,Lavonna Wolny,10/2/1997,22,Male,66.27,176.75,715837482,2/17/2020,6/9/2020,Available,6.901732,79.927812,"Dencil Kobbekaduwa Road, Sri Jayawardenapura Kotte, Western Province 10120, LK",19974467455V,A+,CA/00160
Y17/D04050,Mariann Bilden,6/6/1997,22,Male,73.77,170.44,715837482,10/21/2020,2/10/2020,Available,6.737703,79.931008,"Bekkegama Road, Panadura, Western Province 12500, LK",19973510076V,B+,CA/00195
Y17/D04051,Helene Rodenberger,10/8/1987,32,Male,85.27,160.78,776372733,10/29/2020,2/18/2020,Available,6.893278,80.039054,"Panagoda-Ambulgama Road, Jalthara, Western Province 10200, LK",19872705979V,A+,CA/00180
Y17/D04052,Roselle Estell,10/20/1989,30,Male,69.52,174.02,776372733,10/31/2020,2/20/2020,Available,6.896352,79.946271,"Udawatte Road (Narrow), Akuregoda, Western Province 10115, LK",19894012585V,A+,CA/00186
Y17/D04055,Kristofer Bennick,1/4/1976,44,Female,75.96,168.61,776712741,1/13/2020,5/5/2020,Not Available,6.812988,79.938222,"Piliyandala - Maharagama road, Makuluduwa, Western Province 10300, LK",19765691975V,B+,CA/00146
Y17/D04056,Weldon Acuff,1/4/1985,35,Male,109.8,140.17,710113861,4/15/2020,8/5/2020,Available,6.81339,80.069405,"Madulawa road, , Western Province 10500, LK",19858155895V,B+,CA/00147
Y17/D04057,Shalon Shadrick,7/29/1991,28,Male,109.14,140.72,776372733,6/28/2020,10/18/2020,Available,6.820844,80.142993,"Meepe-Ingiriya Road, Malagala WP, Western Province, LK",19914874969V,A+,CA/00134
Y17/D04058,Denise Patak,10/21/1991,28,Male,84.66,161.29,710113861,1/8/2020,4/30/2020,Available,6.948124,80.023356,"Malwana-Dompe Road, Karabugas Junction, Western Province Dompe, LK",19916453810V,B+,CA/00139
Y17/D04059,Louvenia Beech,2/28/1999,21,Female,62.92,179.56,776372733,5/2/2020,8/22/2020,Available,6.900785,79.979479,"Outer Circular Expressway E02, Kahanthota, Western Province 10150, LK",19998219986V,O+,CA/00142
Y17/D04060,Audry Yaw,4/10/1997,23,Female,85.87,160.28,715837482,7/8/2020,10/28/2020,Available,6.961593,80.1574,"Manakada Road, Boralugoda, Western Province 10730, LK",19977923556V,A+,CA/00189
Y17/D04062,Vincenza Zepp,2/12/1977,43,Male,79.3,165.8,710113861,2/22/2020,6/14/2020,Available,6.859719,80.053534,"Nawalamulla Road, Naduhena Junction, Western Province 10200, LK",19772199257V,B+,CA/00161
Y17/D04063,Elouise Gwalthney,3/18/1993,27,Female,94.95,152.64,715837482,4/4/2020,7/25/2020,Not Available,6.93714,79.87835,"Baseline Road, Colombo, Western Province 00009, LK",19934066317V,A+,CA/00136
Y17/D04064,Venita Maillard,3/26/1983,37,Female,104.53,144.59,776712741,6/10/2020,9/30/2020,Available,6.904182,79.96969,"Giripura Road, Kahanthota, Western Province 10115, LK",19839277486V,O+,CA/00165
Y17/D04065,Kasandra Semidey,4/14/1997,23,Male,91.51,155.54,710113861,6/15/2020,10/5/2020,Available,6.798784,80.005622,"Kottawa Horana road, , Western Province, LK",19972416757V,O+,CA/00137
Y17/D04066,Xochitl Discipio,3/17/1992,28,Male,59.88,182.12,776372733,3/13/2020,7/3/2020,Available,6.958001,79.916799,"Polhena Rd, Kelaniya, Western Province 11300, LK",19929851235V,O+,CA/00170
Y17/D04067,Maile Linahan,11/21/1985,34,Female,94.16,153.31,715837482,6/26/2020,10/16/2020,Available,6.72801,79.898544,"Galle Road New Deviation, , Western Province, LK",19855647241V,B+,CA/00124
Y17/D04069,Pete Dubaldi,8/10/2001,18,Male,70.19,173.45,776712741,2/28/2020,6/20/2020,Available,6.89061,79.883878,"Kirimandala Mawatha, Colombo, Western Province 10107, LK",20016796072V,AB+,CA/00127
Y17/D04072,Wynell Dorshorst,7/15/1992,27,Female,50.64,189.88,710113861,9/3/2020,12/24/2020,Available,6.963845,80.108282,"Hanwella-Pugoda Road, Pepiliyawala, Western Province, LK",19921447450V,AB+,CA/00181
Y17/D04073,Quentin Birkner,1/18/1988,32,Male,76.78,167.92,776712741,5/12/2020,9/1/2020,Available,6.900703,79.999681,"Galwarusawa Road, Korathota, Western Province 10150, LK",19882948480V,A+,CA/00129
Y17/D04074,Regenia Kannady,6/25/1984,35,Female,70.38,173.3,710113861,9/15/2020,1/5/2020,Available,6.923432,80.14539,"Kadugoda Road, Mawalgama, Western Province 10730, LK",19849123840V,B+,CA/00188
Y17/D04075,Sheron Louissant,4/16/1975,45,Female,75.58,168.92,776372733,3/8/2020,6/28/2020,Available,6.881397,79.886952,"Nirmana Road, Nawala, Western Province 10107, LK",19751255018V,A+,CA/00149
Y17/D04077,Rodolfo Butzen,3/2/1990,30,Female,66.29,176.73,776712741,5/18/2020,9/7/2020,Available,6.766479,80.008944,"Colombo - Horana Road, Palannoruwa, Western Province 12404, LK",19903718055V,A+,CA/00157
Y17/D04080,Paz Sahagun,1/27/1995,25,Female,98.27,149.86,776712741,3/17/2020,7/7/2020,Available,6.895766,80.230359,"Avissawella - Ratnapura Road, Meennana, Sabaragamuwa Province, LK",19951399815V,B+,CA/00169
Y17/D04081,Markus Lukasik,4/26/1982,37,Female,82.9,162.78,710113861,10/21/2020,2/10/2020,Available,6.984344,79.909118,"Padiliyatuduwa Road, Wevelduwa, Western Province 11300, LK",19827220440V,O+,CA/00191
Y17/D04082,Jaclyn Bachman,6/2/1992,27,Male,68.13,175.18,776712741,2/9/2020,6/1/2020,Available,6.779073,80.149561,"Meepe-Ingiriya Road, Wewila, Western Province, LK",19929117184V,A+,CA/00140
Y17/D04083,Cyril Daufeldt,3/28/1984,36,Male,57.79,183.87,710113861,12/23/2020,4/13/2020,Available,6.737703,79.931008,"Nagas Handiya, Panadura, Western Province 12500,",19844412400V,B+,CA/00184
Y17/D04084,Gayla Schnitzler,4/12/1998,22,Female,106.81,142.68,776712741,7/30/2020,11/19/2020,Available,6.872303,79.928579,"New Hospital Road, Kimbulawala Junction (WP), Western Province 10280, LK",19988000093V,A+,CA/00178
Y17/D04086,Jennie Drymon,1/9/1997,23,Male,83.25,162.48,776372733,4/15/2020,8/5/2020,Available,6.938833,80.027135,"Hanwella - Malwana Road, , Western Province Dompe, LK",19973620727V,A+,CA/00143
Y17/D04087,Mitsue Scipione,8/20/1979,40,Male,106.62,142.84,710113861,3/16/2020,7/6/2020,Available,6.901355,79.864417,"Thurstan Ground Car Paking, Colombo, Western Province 00700, LK",19796155988V,AB+,CA/00148
Y17/D04088,Ciara Ventura,10/31/1983,36,Male,101.08,147.5,715837482,5/2/2020,8/22/2020,Available,6.83869,80.122269,"Meepe-Ingiriya Road, Padukka WP, Western Province 10500, LK",19838044317V,O+,CA/00135
Y17/D04090,Truman Feichtner,3/19/1980,40,Male,59.54,182.41,776372733,11/2/2020,2/22/2020,Available,6.893935,79.968307,"Malwathta road, Kahanthota, Western Province 10118, LK",19804375974V,O+,CA/00185
Y17/D04091,Gail Kitty,10/16/1975,44,Female,76.95,167.78,710113861,1/30/2020,5/22/2020,Available,6.870957,79.959395,"Thushara Mawatha, Vidyala Junction, Western Province 10118, LK",19755967873V,AB+,CA/00128
Y17/D04092,Dalene Schoeneck,4/22/1978,42,Male,109.41,140.5,776372733,9/6/2020,12/27/2020,Available,6.950716,80.038276,"Malwana-Dompe Road, Karabugas Junction, Western Province Dompe, LK",19784363101V,A+,CA/00194
Y17/D04093,Gertude Witten,5/22/1975,44,Female,88.33,158.21,776372733,6/3/2020,9/23/2020,Not Available,6.792398,79.874083,"Sea Beach Road, Rawathawatta, Western Province 10400, LK",19759091583V,B+,CA/00158
Y17/D04095,Glenn Berray,7/18/1976,43,Male,103.94,145.09,715837482,3/3/2020,6/23/2020,Available,6.91664,79.966237,"1st Lane, Sri Jayawardenapura Kotte, Western Province 10115, LK",19763640587V,B+,CA/00131
Y17/D04096,Lashandra Klang,9/1/1979,40,Male,69.84,173.75,715837482,4/12/2020,8/2/2020,Available,6.827747,79.994809,"Kulasiri Kumarage Mawatha, Hospital Junction, Western Province 10320, LK",19791508341V,O+,CA/00164
Y17/D04097,Lenna Newville,1/11/1986,34,Female,71.28,172.54,776712741,11/12/2020,3/3/2020,Available,6.796868,80.028205,"Ankuttawala Road, Thalagala, Western Province, LK",19863401777V,B+,CA/00179
Y17/D04098,Laurel Pagliuca,5/6/1991,28,Female,88.1,158.4,776372733,1/20/2020,5/12/2020,Not Available,6.77395,79.915065,"Dampe Road, Madapatha, Western Province 10400, LK",19918287828V,O+,CA/00155
Y17/D04100,Annelle Tagala,5/19/1993,26,Female,90.97,155.99,715837482,2/20/2020,6/12/2020,Available,6.990402,80.101812,"Pugoda - Mandawala Road, Pugoda, Western Province, LK",19933714201V,A+,CA/00132
Y17/D04102,Levi Munis,4/14/1989,31,Male,77.03,167.7,715837482,4/17/2020,8/7/2020,Available,6.830588,80.144706,"Ihala Bope-Labugama Road, Thummodara, Western Province, LK",19892852888V,A+,CA/00166
Y17/D04103,Sylvie Ryser,5/31/1998,21,Female,91.11,155.87,715837482,11/2/2020,2/22/2020,Available,6.909255,79.97395,"Water World, Kahanthota, Western Province 10115, LK",19987678003V,A+,CA/00192
Y17/D04104,Sharee Maile,3/11/1977,43,Female,75.12,169.31,776372733,4/11/2020,8/1/2020,Available,6.915153,80.055324,"Hanwella - Malwana Road, , Western Province Dompe, LK",19778718810V,O+,CA/00156
Y17/D04106,Mollie Mcdoniel,9/19/1990,29,Male,56.69,184.8,776712741,3/19/2020,7/9/2020,Available,6.852292,80.197585,"Labugama-Kalatuwawa Forest Reserve, Labugama, Western Province, LK",19907933022V,A+,CA/00144
Y17/D04108,Teddy Pedrozo,4/6/1979,41,Male,53.2,187.74,776372733,1/6/2020,4/28/2020,Available,6.905838,79.943158,"Muttetugoda 2nd Lane, 8th Mile Post Thalahena WP, Western Province 10115, LK",19798211136V,AB+,CA/00133
Y17/D04109,Tasia Andreason,6/24/1990,29,Male,65.82,177.13,715837482,6/1/2020,9/21/2020,Available,6.920024,80.086522,"Hanwella-Pugoda Road, Pepiliyawala, Western Province, LK",19902643385V,A+,CA/00171
Y17/D04110,Hubert Walthall,12/8/1986,33,Female,84.59,161.35,776712741,5/16/2020,9/5/2020,Not Available,6.835828,80.021245,"Mahinda Mawatha, Pansal Handiya, Western Province 10200, LK",19869073764V,A+,CA/00172
Y17/D04111,Arthur Farrow,7/13/1981,38,Male,100.96,147.59,776372733,7/13/2020,11/2/2020,Available,6.847189,80.118258,"Meepe-Ingiriya Road, Padukka WP, Western Province 10500, LK",19813127303V,B+,CA/00196
Y17/D04112,Vilma Berlanga,5/21/1989,30,Male,98.21,149.9,715837482,8/31/2020,12/21/2020,Available,6.925176,80.04175,"Hanwella - Malwana Road, , Western Province Dompe, LK",19893380177V,A+,CA/00177
Y17/D04116,Bernardine Rodefer,4/19/1997,22,Female,94.16,153.32,715837482,1/17/2020,5/9/2020,Available,6.947981,80.21168,"Purple Sun Holiday Resort, Avissawella, Western Province, LK",19975876647V,O+,CA/00153
Y17/D04117,Staci Schmaltz,10/2/1993,26,Male,81.5,163.95,715837482,7/18/2020,11/7/2020,Available,6.771335,80.160338,"Meepe-Ingiriya Road, Wewila, Western Province, LK",19933676782V,O+,CA/00175
Y17/D04118,Nichelle Meteer,6/1/1986,33,Male,91.64,155.43,715837482,3/14/2020,7/4/2020,Available,6.918549,79.881851,"Leslie Ranagala Road, Colombo, Western Province 00800, LK",19866536258V,B+,CA/00126
Y17/D04119,Janine Rhoden,9/13/1984,35,Male,85.23,160.81,776712741,5/28/2020,9/17/2020,Available,6.894904,80.087972,"High Level Road, Meepe, Western Province 10500, LK",19843920964V,O+,CA/00162
Y17/D04120,Ettie Hoopengardner,12/12/1981,38,Male,88.91,157.72,710113861,4/10/2020,7/31/2020,Available,6.89341,79.954319,"Pothuarawa Road, 10th Mile Post Malabe WP, Western Province 10115, LK",19816267672V,O+,CA/00130
Y17/D04121,Eden Jayson,10/22/1982,37,Female,100.68,147.83,776372733,7/6/2020,10/26/2020,Available,6.712699,79.902216,"Sri Gunananda Road, Panadura, Western Province 12500, LK",19824428585V,B+,CA/00183
Y17/D04122,Lynelle Auber,8/20/1988,31,Male,52.18,188.59,715837482,12/19/2020,4/9/2020,Available,6.837071,80.125836,"Meepe-Ingiriya Road, Padukka WP, Western Province 10500, LK",19888888837V,A+,CA/00174
Y17/D04124,Golda Kaniecki,9/25/1999,20,Male,79.01,166.04,715837482,1/27/2020,5/19/2020,Available,6.907019,80.083978,"Hanwella Junction Road, Hanwella, Western Province, LK",19993520168V,B+,CA/00159
Y17/D04125,Catarina Gleich,3/9/1987,33,Male,63.58,179.01,710113861,5/4/2020,8/24/2020,Available,6.9413,79.869177,"Arakwatte Road, Colombo, Western Province 01200, LK",19872439379V,B+,CA/00123
Y17/D04126,Virgie Kiel,1/7/1979,41,Male,82.26,163.31,776372733,4/22/2020,8/12/2020,Available,6.759285,79.947754,"Kesbewa - Kindelpitiya - Bandaragama Road, , Western Province, LK",19793271361V,A+,CA/00163
Y17/D04127,Jolene Ostolaza,8/4/1991,28,Female,98.35,149.79,776712741,2/9/2020,6/1/2020,Available,6.781057,80.01166,"Soyza road, Koralaima, Western Province, LK",19917544861V,A+,CA/00154
Y17/D04128,Keneth Borgman,11/22/1978,41,Male,84.36,161.55,710113861,5/22/2020,9/11/2020,Available,6.870259,79.988434,"Jayanthi Road, Athurugiriya, Western Province 10118, LK",19788357509V,O+,CA/00168
Y17/D04129,Rikki Nayar,8/20/1985,34,Female,60.36,181.71,776372733,8/31/2020,12/21/2020,Available,6.917372,79.913469,"Dodangahahena Road, Sri Jayawardenapura Kotte, Western Province 10100, LK",19851559189V,A+,CA/00182
Y17/D04130,Elke Sengbusch,2/9/1997,23,Male,93.68,153.71,776712741,3/29/2020,7/19/2020,Available,6.854023,80.052759,"Meegoda Meditation Center, Naduhena Junction, Western Province 10200, LK",19974965557V,B+,CA/00152
Y17/D04131,Hoa Sarao,2/3/1976,44,Male,65.33,177.53,710113861,4/14/2020,8/4/2020,Available,6.887682,80.035719,"Panagoda-Ambulgama Road, Jalthara, Western Province 10200, LK",19762071710V,A+,CA/00145
Y17/D04132,Trinidad Mcrae,3/24/1994,26,Male,58.71,183.1,710113861,1/18/2020,5/10/2020,Available,6.925287,80.143011,"Kadugoda Road, Mawalgama, Western Province 10730, LK",19947329519V,A+,CA/00125
